"","Year","Date","Site","Region","Depth","Species","Count","Ecoregion","SSTA_DHW","SSTFilled","kd490_value","WDPAID","WDPA_PID","PA_DEF","NAME","ORIG_NAME","DESIG","DESIG_ENG","DESIG_TYPE","IUCN_CAT","INT_CRIT","MARINE","REP_M_AREA","GIS_M_AREA","REP_AREA","GIS_AREA","NO_TAKE","NO_TK_AREA","STATUS","STATUS_YR","GOV_TYPE","OWN_TYPE","MANG_AUTH","MANG_PLAN","VERIF","METADATAID","SUB_LOC","PARENT_ISO","ISO3","Longitude.Degrees","Latitude.Degrees"
"11",2007,"15-Jun-07","Koh Yak","Thailand",4,"Bleaching (% of population)",0,"ERG050","2.18","304.14","0.035507061","9800","9800","1","Mu Ko Chang","Mu Ko Chang","Marine National Park","Marine National Park","National","II","Not Applicable","1","458","440.595935761649","650","612.653489153084","Not Reported","0","Designated","1982","Federal or national ministry or agency","Not Reported","Department of National Park, Wildlife and Plant Conservation Office of National Park","Available","State Verified","881","Not Reported","THA","THA",102.396,11.7874
"12",2007,"14-Jun-07","Koh Thong Lang","Thailand",3.5,"Bleaching (% of population)",20,"ERG050","1","304.06","0.072199998","9800","9800","1","Mu Ko Chang","Mu Ko Chang","Marine National Park","Marine National Park","National","II","Not Applicable","1","458","440.595935761649","650","612.653489153084","Not Reported","0","Designated","1982","Federal or national ministry or agency","Not Reported","Department of National Park, Wildlife and Plant Conservation Office of National Park","Available","State Verified","881","Not Reported","THA","THA",102.403,11.8185
"13",2006,"11-Dec-06","Koh Yak Yai","Thailand",3.5,"Bleaching (% of population)",0,"ERG050","7.29","303.51","0.064599998","9800","9800","1","Mu Ko Chang","Mu Ko Chang","Marine National Park","Marine National Park","National","II","Not Applicable","1","458","440.595935761649","650","612.653489153084","Not Reported","0","Designated","1982","Federal or national ministry or agency","Not Reported","Department of National Park, Wildlife and Plant Conservation Office of National Park","Available","State Verified","881","Not Reported","THA","THA",102.401,11.8203
"14",2006,"10-Nov-06","Koh Thong Lang","Thailand",4,"Bleaching (% of population)",0,"ERG050","2.56","303.81","0.054399999","9800","9800","1","Mu Ko Chang","Mu Ko Chang","Marine National Park","Marine National Park","National","II","Not Applicable","1","458","440.595935761649","650","612.653489153084","Not Reported","0","Designated","1982","Federal or national ministry or agency","Not Reported","Department of National Park, Wildlife and Plant Conservation Office of National Park","Available","State Verified","881","Not Reported","THA","THA",102.402,11.8203
"15",2006,"27-Nov-06","Koh Lom","Thailand",4.3,"Bleaching (% of population)",0,"ERG050","6.35","304.58","0.061599998","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA",102.447,11.8231
"16",2006,"19-Mar-06","Ko Bai Dang","Thailand",3,"Bleaching (% of population)",0,"ERG050","1.06","302.73","0.047619251","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA",102.455,11.8842
"17",2006,"12-Nov-06","Hin Bai Dang","Thailand",7,"Bleaching (% of population)",4,"ERG050","4.38","303.66","0.054500867","9800","9800","1","Mu Ko Chang","Mu Ko Chang","Marine National Park","Marine National Park","National","II","Not Applicable","1","458","440.595935761649","650","612.653489153084","Not Reported","0","Designated","1982","Federal or national ministry or agency","Not Reported","Department of National Park, Wildlife and Plant Conservation Office of National Park","Available","State Verified","881","Not Reported","THA","THA",102.471,11.9011
"18",2006,"08-Dec-06","Koh Kood","Thailand",5.5,"Bleaching (% of population)",0,"ERG050","10.16","304.1","0.054599999","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA",102.544,11.755
"19",2003,"20-May-03","Pulau Susu Dara Besar","Malaysia",6,"Bleaching (% of population)",4,"ERG049","1.31","301.48","0.076799998","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA",102.667,5.94122
"20",2003,"20-May-03","Pulau Susu Dara Besar","Malaysia",7.6,"Bleaching (% of population)",3,"ERG049","1.31","301.48","0.076799998","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA",102.667,5.94122
"21",2009,"13-Jun-09","Pulau Rawa, Coral Garden","Malaysia",4.2,"Bleaching (% of population)",0,"ERG049","8.82","304.84","0.050599999","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA",102.681,5.96269
"22",2007,"29-Sep-07","Sea Bell","Malaysia",11.5,"Bleaching (% of population)",0,"ERG049","7.48","302.68","0.045799999","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA",102.708,5.95239
"23",2007,"30-Sep-07","Sea Bell","Malaysia",6,"Bleaching (% of population)",0,"ERG049","7.48","302.68","0.045799999","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA",102.708,5.95239
"24",2008,"30-May-08","Sea Bell","Malaysia",6,"Bleaching (% of population)",6,"ERG049","0","303.85","0.051399999","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA",102.708,5.95239
"25",2008,"31-May-08","Sea Bell","Malaysia",11.5,"Bleaching (% of population)",2,"ERG049","0","303.85","0.051399999","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA",102.708,5.95239
"26",2008,"05-Oct-08","Sea Bell","Malaysia",5,"Bleaching (% of population)",2,"ERG049","0","301.54","0.055199999","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA",102.708,5.95239
"27",2009,"08-May-09","Sea Bell","Malaysia",9,"Bleaching (% of population)",0,"ERG049","2.88","304.92","0.052199999","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA",102.708,5.95239
"28",2010,"21-Sep-10","Sea Bell","Malaysia",5,"Bleaching (% of population)",6,"ERG049","6.85","304.57","0.052399999","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA",102.708,5.95239
"29",2003,"08-Jun-03","Pulau Perhentian Kecil/D'Lagoon","Malaysia",6,"Bleaching (% of population)",2,"ERG049","1.12","303.34","0.074999998","19647","19647","1","Pulau Perhentian Kecil","Pulau Perhentian Kecil","Marine Park","Marine Park","National","II","Not Applicable","1","0.19","2.81460833094815","6.38","6.39629226867663","Not Reported","0","Designated","1994","Federal or national ministry or agency","Not Reported","Department of Fisheries","Not Reported","Not Reported","1244","MY-11","MYS","MYS",102.723,5.93158
"30",2003,"08-Jun-03","Pulau Perhentian Kecil/D'Lagoon","Malaysia",10.3,"Bleaching (% of population)",2,"ERG049","1.12","303.34","0.074999998","19647","19647","1","Pulau Perhentian Kecil","Pulau Perhentian Kecil","Marine Park","Marine Park","National","II","Not Applicable","1","0.19","2.81460833094815","6.38","6.39629226867663","Not Reported","0","Designated","1994","Federal or national ministry or agency","Not Reported","Department of Fisheries","Not Reported","Not Reported","1244","MY-11","MYS","MYS",102.723,5.93158
"31",2007,"12-Apr-07","Pulau Perhentian Kecil/D'Lagoon","Malaysia",6,"Bleaching (% of population)",1,"ERG049","6.23","304.15","0.049999999","19647","19647","1","Pulau Perhentian Kecil","Pulau Perhentian Kecil","Marine Park","Marine Park","National","II","Not Applicable","1","0.19","2.81460833094815","6.38","6.39629226867663","Not Reported","0","Designated","1994","Federal or national ministry or agency","Not Reported","Department of Fisheries","Not Reported","Not Reported","1244","MY-11","MYS","MYS",102.723,5.93158
"32",2007,"29-Sep-07","Pulau Perhentian Kecil/D'Lagoon","Malaysia",6,"Bleaching (% of population)",0,"ERG049","7.48","302.68","0.056599999","19647","19647","1","Pulau Perhentian Kecil","Pulau Perhentian Kecil","Marine Park","Marine Park","National","II","Not Applicable","1","0.19","2.81460833094815","6.38","6.39629226867663","Not Reported","0","Designated","1994","Federal or national ministry or agency","Not Reported","Department of Fisheries","Not Reported","Not Reported","1244","MY-11","MYS","MYS",102.723,5.93158
"33",2008,"30-May-08","Pulau Perhentian Kecil/D'Lagoon","Malaysia",6,"Bleaching (% of population)",0,"ERG049","0","303.85","0.057999999","19647","19647","1","Pulau Perhentian Kecil","Pulau Perhentian Kecil","Marine Park","Marine Park","National","II","Not Applicable","1","0.19","2.81460833094815","6.38","6.39629226867663","Not Reported","0","Designated","1994","Federal or national ministry or agency","Not Reported","Department of Fisheries","Not Reported","Not Reported","1244","MY-11","MYS","MYS",102.723,5.93158
"34",2009,"08-May-09","Pulau Perhentian Kecil/D'Lagoon","Malaysia",7.5,"Bleaching (% of population)",12,"ERG049","2.88","304.92","0.071599998","19647","19647","1","Pulau Perhentian Kecil","Pulau Perhentian Kecil","Marine Park","Marine Park","National","II","Not Applicable","1","0.19","2.81460833094815","6.38","6.39629226867663","Not Reported","0","Designated","1994","Federal or national ministry or agency","Not Reported","Department of Fisheries","Not Reported","Not Reported","1244","MY-11","MYS","MYS",102.723,5.93158
"35",2007,"12-Apr-07","Batu Nisan","Malaysia",6,"Bleaching (% of population)",1,"ERG049","6.23","304.15","0.049999999","19647","19647","1","Pulau Perhentian Kecil","Pulau Perhentian Kecil","Marine Park","Marine Park","National","II","Not Applicable","1","0.19","2.81460833094815","6.38","6.39629226867663","Not Reported","0","Designated","1994","Federal or national ministry or agency","Not Reported","Department of Fisheries","Not Reported","Not Reported","1244","MY-11","MYS","MYS",102.725,5.92131
"36",2007,"30-Sep-07","Batu Nisan","Malaysia",6,"Bleaching (% of population)",0,"ERG049","7.48","302.68","0.056599999","19647","19647","1","Pulau Perhentian Kecil","Pulau Perhentian Kecil","Marine Park","Marine Park","National","II","Not Applicable","1","0.19","2.81460833094815","6.38","6.39629226867663","Not Reported","0","Designated","1994","Federal or national ministry or agency","Not Reported","Department of Fisheries","Not Reported","Not Reported","1244","MY-11","MYS","MYS",102.725,5.92131
"37",2008,"31-May-08","Batu Nisan","Malaysia",5.1,"Bleaching (% of population)",0,"ERG049","0","303.85","0.057999999","19647","19647","1","Pulau Perhentian Kecil","Pulau Perhentian Kecil","Marine Park","Marine Park","National","II","Not Applicable","1","0.19","2.81460833094815","6.38","6.39629226867663","Not Reported","0","Designated","1994","Federal or national ministry or agency","Not Reported","Department of Fisheries","Not Reported","Not Reported","1244","MY-11","MYS","MYS",102.725,5.92131
"38",2009,"09-May-09","Batu Nisan","Malaysia",5.5,"Bleaching (% of population)",0,"ERG049","2.88","304.92","0.071599998","19647","19647","1","Pulau Perhentian Kecil","Pulau Perhentian Kecil","Marine Park","Marine Park","National","II","Not Applicable","1","0.19","2.81460833094815","6.38","6.39629226867663","Not Reported","0","Designated","1994","Federal or national ministry or agency","Not Reported","Department of Fisheries","Not Reported","Not Reported","1244","MY-11","MYS","MYS",102.725,5.92131
"39",2010,"22-Sep-10","Batu Nisan","Malaysia",5,"Bleaching (% of population)",9,"ERG049","7.44","304.66","0.064199998","19647","19647","1","Pulau Perhentian Kecil","Pulau Perhentian Kecil","Marine Park","Marine Park","National","II","Not Applicable","1","0.19","2.81460833094815","6.38","6.39629226867663","Not Reported","0","Designated","1994","Federal or national ministry or agency","Not Reported","Department of Fisheries","Not Reported","Not Reported","1244","MY-11","MYS","MYS",102.725,5.92131
"40",2007,"09-Jun-07","Coral View Reef","Malaysia",5,"Bleaching (% of population)",115,"ERG049","2.37","303.93","0.045999999","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA",102.74,5.90347
"41",2009,"31-Mar-09","Tiga Ruang Reef","Malaysia",8,"Bleaching (% of population)",0,"ERG049","1.47","302.8","0.096799998","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA",102.754,5.91697
"42",2009,"13-Jun-09","Tiga Ruang Reef","Malaysia",7,"Bleaching (% of population)",0,"ERG049","7.43","304.8","0.051999999","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA",102.754,5.91697
"43",2010,"23-Sep-10","Tiga Ruang Reef","Malaysia",9,"Bleaching (% of population)",0,"ERG049","15.72","304.64","0.064399998","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA",102.754,5.91697
"44",2003,"12-May-03","Tokong Burung","Malaysia",3,"Bleaching (% of population)",7,"ERG049","2.33","302.53","0.071999998","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA",102.758,5.92325
"45",2003,"12-May-03","Tokong Burung","Malaysia",11,"Bleaching (% of population)",8,"ERG049","2.33","302.53","0.071999998","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA",102.758,5.92325
"46",2008,"27-Sep-08","Tanjung Besi","Malaysia",5.7,"Bleaching (% of population)",2,"ERG049","1.61","302.6","0.078599998","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA",102.758,5.92356
"47",2009,"09-May-09","Tanjung Besi","Malaysia",6,"Bleaching (% of population)",3,"ERG049","2.59","304.77","0.049999999","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA",102.758,5.92356
"48",2010,"21-Sep-10","Tanjung Besi","Malaysia",5,"Bleaching (% of population)",60,"ERG049","15.05","304.57","0.064399998","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA",102.758,5.92356
"49",2004,"28-Aug-04","NW Redang","Malaysia",10.6,"Bleaching (% of population)",0,"ERG049","0","301.79","0.042799999","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA",102.992,5.80306
"50",2004,"12-Jul-04","West Pinang/Tanjung Bakong","Malaysia",6,"Bleaching (% of population)",0,"ERG049","0.2575","302.1","0.1100276","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA",102.993,5.77361
"51",2004,"12-Jul-04","East Pinang","Malaysia",6,"Bleaching (% of population)",0,"ERG049","0","302.52","0.036199999","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA",102.997,5.73417
"52",2007,"21-Apr-07","Pulau Pinang Marine Park/Marine Park Centre Jetty","Malaysia",5.5,"Bleaching (% of population)",15,"ERG049","2.52","303.39","0.037999999","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA",103,5.74692
"53",2007,"01-Oct-07","Pulau Pinang Marine Park/Marine Park Centre Jetty","Malaysia",5,"Bleaching (% of population)",0,"ERG049","2.55","302.86","0.056399999","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA",103,5.74692
"54",2008,"27-Jun-08","Pulau Pinang Marine Park/Marine Park Centre Jetty","Malaysia",5,"Bleaching (% of population)",0,"ERG049","0","300.92","0.052799999","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA",103,5.74692
"55",2008,"27-Jun-08","Chagar Hutang East","Malaysia",10,"Bleaching (% of population)",0,"ERG049","1.44","301.54","0.042999999","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA","Not MPA",103.01,5.81766
